t (s) 	m_dot_g_surf (kg/m²/s)	m_dot_c (kg/m²/s)	< 98 % Virgin	> 1.02 % Char	Total recession (m)
8.1	0.017787	0.0432065	0.0047611	0.00149838	0.00147777
8.2	0.0177325	0.0432231	0.0048003	0.00151773	0.00149713
8.3	0.0176802	0.0432389	0.00484128	0.00153709	0.00151649
8.4	0.0176262	0.0432554	0.00488093	0.00155646	0.00153587
8.5	0.0175745	0.0432712	0.00491948	0.00157584	0.00155526
8.6	0.0175236	0.0432868	0.00496004	0.00159522	0.00157465
8.7	0.0174735	0.0433021	0.00499932	0.00161462	0.00159405
8.8	0.0174256	0.0433168	0.00503744	0.00163402	0.00161346
8.9	0.0173757	0.0433322	0.00507728	0.00165343	0.00163288
9	0.0173283	0.0433468	0.00511631	0.00167284	0.00165231
9.1	0.0172814	0.0433613	0.00515422	0.00169227	0.00167174
9.2	0.0172352	0.0433756	0.00519304	0.0017117	0.00169118
9.3	0.0171912	0.0433892	0.00523191	0.00173114	0.00171063
9.4	0.0171452	0.0434036	0.00526971	0.00175059	0.00173009
9.5	0.0171014	0.0434172	0.00530732	0.00177005	0.00174956
9.6	0.0170581	0.0434307	0.00534612	0.00178951	0.00176903
9.7	0.017019	0.0434427	0.00538387	0.00180898	0.00178851
9.8	0.0169734	0.0434573	0.00542066	0.00182846	0.00180799
9.9	0.0169323	0.0434701	0.00545891	0.00184794	0.00182748
10	0.0168916	0.0434829	0.00549669	0.00186743	0.00184698
10.1	0.0168515	0.0434955	0.00553353	0.00188693	0.00186649
10.2	0.0168155	0.0435066	0.00557021	0.00190643	0.001886
10.3	0.016773	0.0435204	0.00560811	0.00192594	0.00190552
10.4	0.0167348	0.0435324	0.00564506	0.00194546	0.00192505
10.5	0.0166973	0.0435443	0.00568114	0.00196498	0.00194458
10.6	0.0166601	0.0435561	0.00571806	0.00198451	0.00196412
10.7	0.0166266	0.0435665	0.00575519	0.00200405	0.00198367
10.8	0.0165868	0.0435795	0.00579147	0.00202359	0.00200322
10.9	0.0165513	0.0435908	0.00582694	0.00204314	0.00202278
11	0.0165162	0.043602	0.00586384	0.0020627	0.00204234
11.1	0.0164815	0.0436131	0.00590037	0.00208226	0.00206191
11.2	0.0164504	0.0436229	0.00593609	0.00210182	0.00208148
11.3	0.0164132	0.0436351	0.00597106	0.00212139	0.00210107
