p (bar)	B'g	Temp (K)	B'c	Hw (kJ/kg)
1.01325D-02	1.50000D-01	2.10000E+03	1.47339E-01	1.19085E+03
1.01325D-02	1.50000D-01	2.12500E+03	1.47830E-01	1.25490E+03
1.01325D-02	1.50000D-01	2.15000E+03	1.48353E-01	1.32193E+03
1.01325D-02	1.50000D-01	2.17500E+03	1.48906E-01	1.39219E+03
1.01325D-02	1.50000D-01	2.20000E+03	1.49490E-01	1.46592E+03
1.01325D-02	1.50000D-01	2.22500E+03	1.50106E-01	1.54336E+03
1.01325D-02	1.50000D-01	2.25000E+03	1.50754E-01	1.62475E+03
1.01325D-02	1.50000D-01	2.27500E+03	1.51432E-01	1.71032E+03
1.01325D-02	1.50000D-01	2.30000E+03	1.52140E-01	1.80031E+03
1.01325D-02	1.50000D-01	2.32500E+03	1.52878E-01	1.89490E+03
1.01325D-02	1.50000D-01	2.35000E+03	1.53644E-01	1.99431E+03
1.01325D-02	1.50000D-01	2.37500E+03	1.54439E-01	2.09870E+03
1.01325D-02	1.50000D-01	2.40000E+03	1.55260E-01	2.20820E+03
1.01325D-02	1.50000D-01	2.42500E+03	1.56107E-01	2.32292E+03
1.01325D-02	1.50000D-01	2.45000E+03	1.56979E-01	2.44294E+03
1.01325D-02	1.50000D-01	2.47500E+03	1.57878E-01	2.56830E+03
1.01325D-02	1.50000D-01	2.50000E+03	1.58805E-01	2.69900E+03
1.01325D-02	1.50000D-01	2.52500E+03	1.59762E-01	2.83499E+03
1.01325D-02	1.50000D-01	2.55000E+03	1.60756E-01	2.97623E+03
1.01325D-02	1.50000D-01	2.57500E+03	1.61795E-01	3.12265E+03
1.01325D-02	1.50000D-01	2.60000E+03	1.62892E-01	3.27417E+03
1.01325D-02	1.50000D-01	2.62500E+03	1.64066E-01	3.43078E+03
1.01325D-02	1.50000D-01	2.65000E+03	1.65345E-01	3.59250E+03
1.01325D-02	1.50000D-01	2.67500E+03	1.66766E-01	3.75951E+03
1.01325D-02	1.50000D-01	2.70000E+03	1.68379E-01	3.93214E+03
1.01325D-02	1.50000D-01	2.72500E+03	1.70254E-01	4.11102E+03
1.01325D-02	1.50000D-01	2.75000E+03	1.72479E-01	4.29711E+03
1.01325D-02	1.50000D-01	2.77500E+03	1.75175E-01	4.49187E+03
1.01325D-02	1.50000D-01	2.80000E+03	1.78498E-01	4.69735E+03
1.01325D-02	1.50000D-01	2.82500E+03	1.82648E-01	4.91638E+03
1.01325D-02	1.50000D-01	2.85000E+03	1.87890E-01	5.15278E+03
1.01325D-02	1.50000D-01	2.87500E+03	1.94562E-01	5.41148E+03
1.01325D-02	1.50000D-01	2.90000E+03	2.03105E-01	5.69882E+03
1.01325D-02	1.50000D-01	2.92500E+03	2.14087E-01	6.02280E+03
1.01325D-02	1.50000D-01	2.95000E+03	2.28251E-01	6.39326E+03
1.01325D-02	1.50000D-01	2.97500E+03	2.46567E-01	6.82220E+03
1.01325D-02	1.50000D-01	3.00000E+03	2.70320E-01	7.32393E+03
1.01325D-02	1.50000D-01	3.02500E+03	3.01227E-01	7.91522E+03
1.01325D-02	1.50000D-01	3.05000E+03	3.41621E-01	8.61525E+03
1.01325D-02	1.50000D-01	3.07500E+03	3.94744E-01	9.44535E+03
1.01325D-02	1.50000D-01	3.10000E+03	4.65203E-01	1.04283E+04
1.01325D-02	1.50000D-01	3.12500E+03	5.59782E-01	1.15874E+04
1.01325D-02	1.50000D-01	3.15000E+03	6.88866E-01	1.29446E+04
1.01325D-02	1.50000D-01	3.17500E+03	8.69215E-01	1.45179E+04
1.01325D-02	1.50000D-01	3.20000E+03	1.12974E+00	1.63185E+04
1.01325D-02	1.50000D-01	3.22500E+03	1.52497E+00	1.83469E+04
1.01325D-02	1.50000D-01	3.25000E+03	2.17155E+00	2.05889E+04
1.01325D-02	1.50000D-01	3.27500E+03	3.37140E+00	2.30103E+04
1.01325D-02	1.50000D-01	3.30000E+03	6.21627E+00	2.55502E+04
1.01325D-02	1.50000D-01	3.32500E+03	1.98007E+01	2.80930E+04
1.01325D-02	1.50000D-01	3.35000E+03	1.98007E+01	2.80930E+04
1.01325D-02	1.50000D-01	3.37500E+03	1.98007E+01	2.80930E+04
1.01325D-02	1.50000D-01	3.40000E+03	1.98007E+01	2.80930E+04
1.01325D-02	1.50000D-01	3.42500E+03	1.98007E+01	2.80930E+04
1.01325D-02	1.50000D-01	3.45000E+03	1.98007E+01	2.80930E+04
1.01325D-02	1.50000D-01	3.47500E+03	1.98007E+01	2.80930E+04
1.01325D-02	1.50000D-01	3.50000E+03	1.98007E+01	2.80930E+04
1.01325D-02	1.50000D-01	3.52500E+03	1.98007E+01	2.80930E+04
1.01325D-02	1.50000D-01	3.55000E+03	1.98007E+01	2.80930E+04
1.01325D-02	1.50000D-01	3.57500E+03	1.98007E+01	2.80930E+04
1.01325D-02	1.50000D-01	3.60000E+03	1.98007E+01	2.80930E+04
1.01325D-02	1.50000D-01	3.62500E+03	1.98007E+01	2.80930E+04
1.01325D-02	1.50000D-01	3.65000E+03	1.98007E+01	2.80930E+04
1.01325D-02	1.50000D-01	3.67500E+03	1.98007E+01	2.80930E+04
1.01325D-02	1.50000D-01	3.70000E+03	1.98007E+01	2.80930E+04
1.01325D-02	1.50000D-01	3.72500E+03	1.98007E+01	2.80930E+04
1.01325D-02	1.50000D-01	3.75000E+03	1.98007E+01	2.80930E+04
1.01325D-02	1.50000D-01	3.77500E+03	1.98007E+01	2.80930E+04
1.01325D-02	1.50000D-01	3.80000E+03	1.98007E+01	2.80930E+04
1.01325D-02	1.50000D-01	3.82500E+03	1.98007E+01	2.80930E+04
1.01325D-02	1.50000D-01	3.85000E+03	1.98007E+01	2.80930E+04
1.01325D-02	1.50000D-01	3.87500E+03	1.98007E+01	2.80930E+04
1.01325D-02	1.50000D-01	3.90000E+03	1.98007E+01	2.80930E+04
1.01325D-02	1.50000D-01	3.92500E+03	1.98007E+01	2.80930E+04
1.01325D-02	1.50000D-01	3.95000E+03	1.98007E+01	2.80930E+04
1.01325D-02	1.50000D-01	3.97500E+03	1.98007E+01	2.80930E+04
1.01325D-02	1.50000D-01	4.00000E+03	1.98007E+01	2.80930E+04
p (bar)	B'g	Temp (K)	B'c	Hw (kJ/kg)
1.01325D-02	2.00000D-01	2.50000E+02	0.00000E+00	-3.90768E+03
1.01325D-02	2.00000D-01	2.75000E+02	0.00000E+00	-3.86742E+03
1.01325D-02	2.00000D-01	3.00000E+02	0.00000E+00	-3.82384E+03
1.01325D-02	2.00000D-01	3.25000E+02	0.00000E+00	-3.77793E+03
1.01325D-02	2.00000D-01	3.50000E+02	0.00000E+00	-3.73059E+03
1.01325D-02	2.00000D-01	3.75000E+02	0.00000E+00	-3.68229E+03
1.01325D-02	2.00000D-01	4.00000E+02	0.00000E+00	-3.63290E+03
1.01325D-02	2.00000D-01	4.25000E+02	0.00000E+00	-3.58170E+03
1.01325D-02	2.00000D-01	4.50000E+02	0.00000E+00	-3.52737E+03
1.01325D-02	2.00000D-01	4.75000E+02	0.00000E+00	-3.46819E+03
1.01325D-02	2.00000D-01	5.00000E+02	0.00000E+00	-3.40221E+03
1.01325D-02	2.00000D-01	5.25000E+02	0.00000E+00	-3.32769E+03
1.01325D-02	2.00000D-01	5.50000E+02	0.00000E+00	-3.24347E+03
1.01325D-02	2.00000D-01	5.75000E+02	0.00000E+00	-3.14915E+03
1.01325D-02	2.00000D-01	6.00000E+02	0.00000E+00	-3.04468E+03
1.01325D-02	2.00000D-01	6.25000E+02	0.00000E+00	-2.92902E+03
1.01325D-02	2.00000D-01	6.50000E+02	1.14830E-03	-2.79860E+03
1.01325D-02	2.00000D-01	6.75000E+02	9.27699E-03	-2.64644E+03
1.01325D-02	2.00000D-01	7.00000E+02	1.99523E-02	-2.46308E+03
1.01325D-02	2.00000D-01	7.25000E+02	3.37778E-02	-2.24046E+03
1.01325D-02	2.00000D-01	7.50000E+02	5.08374E-02	-1.97895E+03
1.01325D-02	2.00000D-01	7.75000E+02	7.00440E-02	-1.69512E+03
1.01325D-02	2.00000D-01	8.00000E+02	8.89021E-02	-1.42219E+03
1.01325D-02	2.00000D-01	8.25000E+02	1.04543E-01	-1.19459E+03
1.01325D-02	2.00000D-01	8.50000E+02	1.15516E-01	-1.02690E+03
1.01325D-02	2.00000D-01	8.75000E+02	1.22281E-01	-9.10863E+02
1.01325D-02	2.00000D-01	9.00000E+02	1.26149E-01	-8.29487E+02
1.01325D-02	2.00000D-01	9.25000E+02	1.28295E-01	-7.68370E+02
1.01325D-02	2.00000D-01	9.50000E+02	1.29483E-01	-7.18358E+02
1.01325D-02	2.00000D-01	9.75000E+02	1.30150E-01	-6.74300E+02
1.01325D-02	2.00000D-01	1.00000E+03	1.30532E-01	-6.33419E+02
1.01325D-02	2.00000D-01	1.02500E+03	1.30757E-01	-5.94236E+02
1.01325D-02	2.00000D-01	1.05000E+03	1.30891E-01	-5.55956E+02
1.01325D-02	2.00000D-01	1.07500E+03	1.30975E-01	-5.18141E+02
1.01325D-02	2.00000D-01	1.10000E+03	1.31028E-01	-4.80545E+02
1.01325D-02	2.00000D-01	1.12500E+03	1.31063E-01	-4.43027E+02
1.01325D-02	2.00000D-01	1.15000E+03	1.31087E-01	-4.05507E+02
1.01325D-02	2.00000D-01	1.17500E+03	1.31105E-01	-3.67934E+02
1.01325D-02	2.00000D-01	1.20000E+03	1.31120E-01	-3.30278E+02
1.01325D-02	2.00000D-01	1.22500E+03	1.31133E-01	-2.92521E+02
1.01325D-02	2.00000D-01	1.25000E+03	1.31145E-01	-2.54649E+02
1.01325D-02	2.00000D-01	1.27500E+03	1.31158E-01	-2.16654E+02
1.01325D-02	2.00000D-01	1.30000E+03	1.31173E-01	-1.78528E+02
1.01325D-02	2.00000D-01	1.32500E+03	1.31189E-01	-1.40266E+02
1.01325D-02	2.00000D-01	1.35000E+03	1.31208E-01	-1.01859E+02
1.01325D-02	2.00000D-01	1.37500E+03	1.31231E-01	-6.33022E+01
1.01325D-02	2.00000D-01	1.40000E+03	1.31257E-01	-2.45860E+01
1.01325D-02	2.00000D-01	1.42500E+03	1.31287E-01	1.42990E+01
1.01325D-02	2.00000D-01	1.45000E+03	1.31323E-01	5.33643E+01
1.01325D-02	2.00000D-01	1.47500E+03	1.31365E-01	9.26240E+01
1.01325D-02	2.00000D-01	1.50000E+03	1.31413E-01	1.32095E+02
1.01325D-02	2.00000D-01	1.52500E+03	1.31469E-01	1.71796E+02
1.01325D-02	2.00000D-01	1.55000E+03	1.31532E-01	2.11752E+02
1.01325D-02	2.00000D-01	1.57500E+03	1.31605E-01	2.51990E+02
1.01325D-02	2.00000D-01	1.60000E+03	1.31688E-01	2.92543E+02
1.01325D-02	2.00000D-01	1.62500E+03	1.31782E-01	3.33447E+02
1.01325D-02	2.00000D-01	1.65000E+03	1.31888E-01	3.74748E+02
1.01325D-02	2.00000D-01	1.67500E+03	1.32007E-01	4.16494E+02
1.01325D-02	2.00000D-01	1.70000E+03	1.32141E-01	4.58743E+02
1.01325D-02	2.00000D-01	1.72500E+03	1.32290E-01	5.01562E+02
1.01325D-02	2.00000D-01	1.75000E+03	1.32456E-01	5.45024E+02
1.01325D-02	2.00000D-01	1.77500E+03	1.32639E-01	5.89213E+02
1.01325D-02	2.00000D-01	1.80000E+03	1.32843E-01	6.34224E+02
1.01325D-02	2.00000D-01	1.82500E+03	1.33066E-01	6.80161E+02
1.01325D-02	2.00000D-01	1.85000E+03	1.33312E-01	7.27143E+02
1.01325D-02	2.00000D-01	1.87500E+03	1.33582E-01	7.75297E+02
1.01325D-02	2.00000D-01	1.90000E+03	1.33877E-01	8.24769E+02
1.01325D-02	2.00000D-01	1.92500E+03	1.34197E-01	8.75713E+02
1.01325D-02	2.00000D-01	1.95000E+03	1.34546E-01	9.28300E+02
1.01325D-02	2.00000D-01	1.97500E+03	1.34924E-01	9.82717E+02
1.01325D-02	2.00000D-01	2.00000E+03	1.35333E-01	1.03916E+03
1.01325D-02	2.00000D-01	2.02500E+03	1.35774E-01	1.09785E+03
1.01325D-02	2.00000D-01	2.05000E+03	1.36248E-01	1.15901E+03
1.01325D-02	2.00000D-01	2.07500E+03	1.36756E-01	1.22289E+03
1.01325D-02	2.00000D-01	2.10000E+03	1.37300E-01	1.28974E+03
1.01325D-02	2.00000D-01	2.12500E+03	1.37881E-01	1.35983E+03
1.01325D-02	2.00000D-01	2.15000E+03	1.38499E-01	1.43344E+03
1.01325D-02	2.00000D-01	2.17500E+03	1.39155E-01	1.51086E+03
1.01325D-02	2.00000D-01	2.20000E+03	1.39849E-01	1.59239E+03
1.01325D-02	2.00000D-01	2.22500E+03	1.40583E-01	1.67832E+03
1.01325D-02	2.00000D-01	2.25000E+03	1.41355E-01	1.76895E+03
1.01325D-02	2.00000D-01	2.27500E+03	1.42166E-01	1.86459E+03
1.01325D-02	2.00000D-01	2.30000E+03	1.43016E-01	1.96551E+03
1.01325D-02	2.00000D-01	2.32500E+03	1.43903E-01	2.07199E+03
1.01325D-02	2.00000D-01	2.35000E+03	1.44826E-01	2.18430E+03
1.01325D-02	2.00000D-01	2.37500E+03	1.45786E-01	2.30266E+03
1.01325D-02	2.00000D-01	2.40000E+03	1.46781E-01	2.42730E+03
1.01325D-02	2.00000D-01	2.42500E+03	1.47811E-01	2.55837E+03
1.01325D-02	2.00000D-01	2.45000E+03	1.48874E-01	2.69603E+03
1.01325D-02	2.00000D-01	2.47500E+03	1.49971E-01	2.84036E+03
1.01325D-02	2.00000D-01	2.50000E+03	1.51104E-01	2.99142E+03
1.01325D-02	2.00000D-01	2.52500E+03	1.52276E-01	3.14922E+03
1.01325D-02	2.00000D-01	2.55000E+03	1.53492E-01	3.31373E+03
1.01325D-02	2.00000D-01	2.57500E+03	1.54761E-01	3.48491E+03
1.01325D-02	2.00000D-01	2.60000E+03	1.56097E-01	3.66268E+03
1.01325D-02	2.00000D-01	2.62500E+03	1.57520E-01	3.84702E+03
1.01325D-02	2.00000D-01	2.65000E+03	1.59059E-01	4.03791E+03
1.01325D-02	2.00000D-01	2.67500E+03	1.60753E-01	4.23547E+03
1.01325D-02	2.00000D-01	2.70000E+03	1.62658E-01	4.43996E+03
1.01325D-02	2.00000D-01	2.72500E+03	1.64846E-01	4.65187E+03
1.01325D-02	2.00000D-01	2.75000E+03	1.67418E-01	4.87207E+03
1.01325D-02	2.00000D-01	2.77500E+03	1.70502E-01	5.10185E+03
1.01325D-02	2.00000D-01	2.80000E+03	1.74270E-01	5.34311E+03
1.01325D-02	2.00000D-01	2.82500E+03	1.78946E-01	5.59854E+03
1.01325D-02	2.00000D-01	2.85000E+03	1.84819E-01	5.87176E+03
1.01325D-02	2.00000D-01	2.87500E+03	1.92265E-01	6.16757E+03
1.01325D-02	2.00000D-01	2.90000E+03	2.01773E-01	6.49217E+03
1.01325D-02	2.00000D-01	2.92500E+03	2.13976E-01	6.85339E+03
1.01325D-02	2.00000D-01	2.95000E+03	2.29699E-01	7.26094E+03
1.01325D-02	2.00000D-01	2.97500E+03	2.50025E-01	7.72660E+03
1.01325D-02	2.00000D-01	3.00000E+03	2.76382E-01	8.26437E+03
1.01325D-02	2.00000D-01	3.02500E+03	3.10686E-01	8.89050E+03
1.01325D-02	2.00000D-01	3.05000E+03	3.55536E-01	9.62331E+03
1.01325D-02	2.00000D-01	3.07500E+03	4.14544E-01	1.04828E+04
1.01325D-02	2.00000D-01	3.10000E+03	4.92845E-01	1.14896E+04
1.01325D-02	2.00000D-01	3.12500E+03	5.97994E-01	1.26638E+04
1.01325D-02	2.00000D-01	3.15000E+03	7.41562E-01	1.40230E+04
1.01325D-02	2.00000D-01	3.17500E+03	9.42208E-01	1.55794E+04
1.01325D-02	2.00000D-01	3.20000E+03	1.23211E+00	1.73369E+04
1.01325D-02	2.00000D-01	3.22500E+03	1.67197E+00	1.92878E+04
1.01325D-02	2.00000D-01	3.25000E+03	2.39149E+00	2.14092E+04
1.01325D-02	2.00000D-01	3.27500E+03	3.72614E+00	2.36599E+04
1.01325D-02	2.00000D-01	3.30000E+03	6.88732E+00	2.59758E+04
1.01325D-02	2.00000D-01	3.32500E+03	2.19317E+01	2.82470E+04
1.01325D-02	2.00000D-01	3.35000E+03	2.19317E+01	2.82470E+04
1.01325D-02	2.00000D-01	3.37500E+03	2.19317E+01	2.82470E+04
1.01325D-02	2.00000D-01	3.40000E+03	2.19317E+01	2.82470E+04
1.01325D-02	2.00000D-01	3.42500E+03	2.19317E+01	2.82470E+04
1.01325D-02	2.00000D-01	3.45000E+03	2.19317E+01	2.82470E+04
1.01325D-02	2.00000D-01	3.47500E+03	2.19317E+01	2.82470E+04
1.01325D-02	2.00000D-01	3.50000E+03	2.19317E+01	2.82470E+04
1.01325D-02	2.00000D-01	3.52500E+03	2.19317E+01	2.82470E+04
1.01325D-02	2.00000D-01	3.55000E+03	2.19317E+01	2.82470E+04
1.01325D-02	2.00000D-01	3.57500E+03	2.19317E+01	2.82470E+04
1.01325D-02	2.00000D-01	3.60000E+03	2.19317E+01	2.82470E+04
1.01325D-02	2.00000D-01	3.62500E+03	2.19317E+01	2.82470E+04
1.01325D-02	2.00000D-01	3.65000E+03	2.19317E+01	2.82470E+04
1.01325D-02	2.00000D-01	3.67500E+03	2.19317E+01	2.82470E+04
1.01325D-02	2.00000D-01	3.70000E+03	2.19317E+01	2.82470E+04
1.01325D-02	2.00000D-01	3.72500E+03	2.19317E+01	2.82470E+04
1.01325D-02	2.00000D-01	3.75000E+03	2.19317E+01	2.82470E+04
1.01325D-02	2.00000D-01	3.77500E+03	2.19317E+01	2.82470E+04
1.01325D-02	2.00000D-01	3.80000E+03	2.19317E+01	2.82470E+04
1.01325D-02	2.00000D-01	3.82500E+03	2.19317E+01	2.82470E+04
1.01325D-02	2.00000D-01	3.85000E+03	2.19317E+01	2.82470E+04
1.01325D-02	2.00000D-01	3.87500E+03	2.19317E+01	2.82470E+04
1.01325D-02	2.00000D-01	3.90000E+03	2.19317E+01	2.82470E+04
1.01325D-02	2.00000D-01	3.92500E+03	2.19317E+01	2.82470E+04
1.01325D-02	2.00000D-01	3.95000E+03	2.19317E+01	2.82470E+04
1.01325D-02	2.00000D-01	3.97500E+03	2.19317E+01	2.82470E+04
1.01325D-02	2.00000D-01	4.00000E+03	2.19317E+01	2.82470E+04
p (bar)	B'g	Temp (K)	B'c	Hw (kJ/kg)
1.01325D-02	2.50000D-01	2.50000E+02	0.00000E+00	-4.18469E+03
1.01325D-02	2.50000D-01	2.75000E+02	0.00000E+00	-4.13305E+03
1.01325D-02	2.50000D-01	3.00000E+02	0.00000E+00	-4.07809E+03
1.01325D-02	2.50000D-01	3.25000E+02	0.00000E+00	-4.02173E+03
1.01325D-02	2.50000D-01	3.50000E+02	0.00000E+00	-3.96514E+03
1.01325D-02	2.50000D-01	3.75000E+02	0.00000E+00	-3.90871E+03
1.01325D-02	2.50000D-01	4.00000E+02	0.00000E+00	-3.85210E+03
1.01325D-02	2.50000D-01	4.25000E+02	0.00000E+00	-3.79429E+03
1.01325D-02	2.50000D-01	4.50000E+02	0.00000E+00	-3.73368E+03
1.01325D-02	2.50000D-01	4.75000E+02	0.00000E+00	-3.66818E+03
1.01325D-02	2.50000D-01	5.00000E+02	0.00000E+00	-3.59546E+03
1.01325D-02	2.50000D-01	5.25000E+02	0.00000E+00	-3.51334E+03
1.01325D-02	2.50000D-01	5.50000E+02	0.00000E+00	-3.42029E+03
1.01325D-02	2.50000D-01	5.75000E+02	0.00000E+00	-3.31567E+03
1.01325D-02	2.50000D-01	6.00000E+02	0.00000E+00	-3.19948E+03
1.01325D-02	2.50000D-01	6.25000E+02	0.00000E+00	-3.07101E+03
1.01325D-02	2.50000D-01	6.50000E+02	0.00000E+00	-2.92709E+03
1.01325D-02	2.50000D-01	6.75000E+02	0.00000E+00	-2.76094E+03
1.01325D-02	2.50000D-01	7.00000E+02	4.98608E-04	-2.56309E+03
1.01325D-02	2.50000D-01	7.25000E+02	1.54470E-02	-2.32538E+03
1.01325D-02	2.50000D-01	7.50000E+02	3.38638E-02	-2.04840E+03
1.01325D-02	2.50000D-01	7.75000E+02	5.45504E-02	-1.74959E+03
1.01325D-02	2.50000D-01	8.00000E+02	7.48195E-02	-1.46350E+03
1.01325D-02	2.50000D-01	8.25000E+02	9.16086E-02	-1.22559E+03
1.01325D-02	2.50000D-01	8.50000E+02	1.03385E-01	-1.05051E+03
1.01325D-02	2.50000D-01	8.75000E+02	1.10652E-01	-9.29346E+02
1.01325D-02	2.50000D-01	9.00000E+02	1.14814E-01	-8.44314E+02
1.01325D-02	2.50000D-01	9.25000E+02	1.17128E-01	-7.80424E+02
1.01325D-02	2.50000D-01	9.50000E+02	1.18412E-01	-7.28150E+02
1.01325D-02	2.50000D-01	9.75000E+02	1.19135E-01	-6.82120E+02
1.01325D-02	2.50000D-01	1.00000E+03	1.19549E-01	-6.39436E+02
1.01325D-02	2.50000D-01	1.02500E+03	1.19793E-01	-5.98548E+02
1.01325D-02	2.50000D-01	1.05000E+03	1.19939E-01	-5.58620E+02
1.01325D-02	2.50000D-01	1.07500E+03	1.20030E-01	-5.19191E+02
1.01325D-02	2.50000D-01	1.10000E+03	1.20088E-01	-4.80000E+02
1.01325D-02	2.50000D-01	1.12500E+03	1.20126E-01	-4.40899E+02
1.01325D-02	2.50000D-01	1.15000E+03	1.20153E-01	-4.01798E+02
1.01325D-02	2.50000D-01	1.17500E+03	1.20172E-01	-3.62646E+02
1.01325D-02	2.50000D-01	1.20000E+03	1.20188E-01	-3.23410E+02
1.01325D-02	2.50000D-01	1.22500E+03	1.20202E-01	-2.84068E+02
1.01325D-02	2.50000D-01	1.25000E+03	1.20216E-01	-2.44608E+02
1.01325D-02	2.50000D-01	1.27500E+03	1.20231E-01	-2.05018E+02
1.01325D-02	2.50000D-01	1.30000E+03	1.20247E-01	-1.65291E+02
1.01325D-02	2.50000D-01	1.32500E+03	1.20265E-01	-1.25419E+02
1.01325D-02	2.50000D-01	1.35000E+03	1.20286E-01	-8.53941E+01
1.01325D-02	2.50000D-01	1.37500E+03	1.20311E-01	-4.52087E+01
1.01325D-02	2.50000D-01	1.40000E+03	1.20340E-01	-4.85342E+00
1.01325D-02	2.50000D-01	1.42500E+03	1.20375E-01	3.56830E+01
1.01325D-02	2.50000D-01	1.45000E+03	1.20415E-01	7.64136E+01
1.01325D-02	2.50000D-01	1.47500E+03	1.20461E-01	1.17354E+02
1.01325D-02	2.50000D-01	1.50000E+03	1.20515E-01	1.58524E+02
1.01325D-02	2.50000D-01	1.52500E+03	1.20578E-01	1.99944E+02
1.01325D-02	2.50000D-01	1.55000E+03	1.20649E-01	2.41642E+02
1.01325D-02	2.50000D-01	1.57500E+03	1.20731E-01	2.83649E+02
1.01325D-02	2.50000D-01	1.60000E+03	1.20824E-01	3.26000E+02
1.01325D-02	2.50000D-01	1.62500E+03	1.20929E-01	3.68739E+02
1.01325D-02	2.50000D-01	1.65000E+03	1.21048E-01	4.11914E+02
1.01325D-02	2.50000D-01	1.67500E+03	1.21182E-01	4.55582E+02
1.01325D-02	2.50000D-01	1.70000E+03	1.21332E-01	4.99808E+02
1.01325D-02	2.50000D-01	1.72500E+03	1.21499E-01	5.44664E+02
1.01325D-02	2.50000D-01	1.75000E+03	1.21685E-01	5.90235E+02
1.01325D-02	2.50000D-01	1.77500E+03	1.21892E-01	6.36616E+02
1.01325D-02	2.50000D-01	1.80000E+03	1.22121E-01	6.83912E+02
1.01325D-02	2.50000D-01	1.82500E+03	1.22373E-01	7.32242E+02
1.01325D-02	2.50000D-01	1.85000E+03	1.22650E-01	7.81738E+02
1.01325D-02	2.50000D-01	1.87500E+03	1.22954E-01	8.32547E+02
1.01325D-02	2.50000D-01	1.90000E+03	1.23287E-01	8.84830E+02
1.01325D-02	2.50000D-01	1.92500E+03	1.23649E-01	9.38763E+02
1.01325D-02	2.50000D-01	1.95000E+03	1.24044E-01	9.94540E+02
1.01325D-02	2.50000D-01	1.97500E+03	1.24471E-01	1.05237E+03
1.01325D-02	2.50000D-01	2.00000E+03	1.24934E-01	1.11248E+03
1.01325D-02	2.50000D-01	2.02500E+03	1.25434E-01	1.17512E+03
1.01325D-02	2.50000D-01	2.05000E+03	1.25971E-01	1.24054E+03
1.01325D-02	2.50000D-01	2.07500E+03	1.26549E-01	1.30903E+03
1.01325D-02	2.50000D-01	2.10000E+03	1.27168E-01	1.38088E+03
1.01325D-02	2.50000D-01	2.12500E+03	1.27829E-01	1.45639E+03
1.01325D-02	2.50000D-01	2.15000E+03	1.28534E-01	1.53589E+03
1.01325D-02	2.50000D-01	2.17500E+03	1.29283E-01	1.61971E+03
1.01325D-02	2.50000D-01	2.20000E+03	1.30077E-01	1.70820E+03
1.01325D-02	2.50000D-01	2.22500E+03	1.30917E-01	1.80171E+03
1.01325D-02	2.50000D-01	2.25000E+03	1.31803E-01	1.90058E+03
1.01325D-02	2.50000D-01	2.27500E+03	1.32735E-01	2.00517E+03
1.01325D-02	2.50000D-01	2.30000E+03	1.33713E-01	2.11583E+03
1.01325D-02	2.50000D-01	2.32500E+03	1.34736E-01	2.23289E+03
1.01325D-02	2.50000D-01	2.35000E+03	1.35803E-01	2.35668E+03
1.01325D-02	2.50000D-01	2.37500E+03	1.36915E-01	2.48748E+03
1.01325D-02	2.50000D-01	2.40000E+03	1.38069E-01	2.62557E+03
1.01325D-02	2.50000D-01	2.42500E+03	1.39265E-01	2.77119E+03
1.01325D-02	2.50000D-01	2.45000E+03	1.40503E-01	2.92454E+03
1.01325D-02	2.50000D-01	2.47500E+03	1.41784E-01	3.08575E+03
1.01325D-02	2.50000D-01	2.50000E+03	1.43107E-01	3.25495E+03
1.01325D-02	2.50000D-01	2.52500E+03	1.44477E-01	3.43218E+03
1.01325D-02	2.50000D-01	2.55000E+03	1.45899E-01	3.61746E+03
1.01325D-02	2.50000D-01	2.57500E+03	1.47383E-01	3.81077E+03
1.01325D-02	2.50000D-01	2.60000E+03	1.48943E-01	4.01205E+03
1.01325D-02	2.50000D-01	2.62500E+03	1.50600E-01	4.22125E+03
1.01325D-02	2.50000D-01	2.65000E+03	1.52384E-01	4.43837E+03
1.01325D-02	2.50000D-01	2.67500E+03	1.54338E-01	4.66347E+03
1.01325D-02	2.50000D-01	2.70000E+03	1.56522E-01	4.89675E+03
1.01325D-02	2.50000D-01	2.72500E+03	1.59013E-01	5.13863E+03
1.01325D-02	2.50000D-01	2.75000E+03	1.61920E-01	5.38987E+03
1.01325D-02	2.50000D-01	2.77500E+03	1.65383E-01	5.65164E+03
1.01325D-02	2.50000D-01	2.80000E+03	1.69589E-01	5.92572E+03
1.01325D-02	2.50000D-01	2.82500E+03	1.74781E-01	6.21463E+03
1.01325D-02	2.50000D-01	2.85000E+03	1.81278E-01	6.52183E+03
1.01325D-02	2.50000D-01	2.87500E+03	1.89492E-01	6.85197E+03
1.01325D-02	2.50000D-01	2.90000E+03	1.99958E-01	7.21107E+03
1.01325D-02	2.50000D-01	2.92500E+03	2.13375E-01	7.60675E+03
1.01325D-02	2.50000D-01	2.95000E+03	2.30650E-01	8.04851E+03
1.01325D-02	2.50000D-01	2.97500E+03	2.52975E-01	8.54781E+03
1.01325D-02	2.50000D-01	3.00000E+03	2.81926E-01	9.11824E+03
1.01325D-02	2.50000D-01	3.02500E+03	3.19613E-01	9.77542E+03
1.01325D-02	2.50000D-01	3.05000E+03	3.68902E-01	1.05367E+04
1.01325D-02	2.50000D-01	3.07500E+03	4.33775E-01	1.14206E+04
1.01325D-02	2.50000D-01	3.10000E+03	5.19893E-01	1.24457E+04
1.01325D-02	2.50000D-01	3.12500E+03	6.35583E-01	1.36291E+04
1.01325D-02	2.50000D-01	3.15000E+03	7.93596E-01	1.49844E+04
