p (Pa)	B'g	B'c	Temp (K)	hw (J/kg)
1.01325E+05	5.00000E+00	8.75712E+00	3.75000E+03	2.76318E+07
1.01325E+05	5.00000E+00	5.90017E+00	3.70000E+03	2.64635E+07
1.01325E+05	5.00000E+00	4.11613E+00	3.65000E+03	2.51288E+07
1.01325E+05	5.00000E+00	2.94303E+00	3.60000E+03	2.36933E+07
1.01325E+05	5.00000E+00	2.14146E+00	3.55000E+03	2.22149E+07
1.01325E+05	5.00000E+00	1.57599E+00	3.50000E+03	2.07409E+07
1.01325E+05	5.00000E+00	1.16517E+00	3.45000E+03	1.93068E+07
1.01325E+05	5.00000E+00	8.57789E-01	3.40000E+03	1.79373E+07
1.01325E+05	5.00000E+00	6.20704E-01	3.35000E+03	1.66479E+07
1.01325E+05	5.00000E+00	4.32038E-01	3.30000E+03	1.54465E+07
1.01325E+05	5.00000E+00	2.77195E-01	3.25000E+03	1.43350E+07
1.01325E+05	5.00000E+00	1.46402E-01	3.20000E+03	1.33113E+07
1.01325E+05	5.00000E+00	3.31245E-02	3.15000E+03	1.23703E+07
1.01325E+05	5.00000E+00	0.00000E+00	3.10000E+03	1.15391E+07
1.01325E+05	5.00000E+00	0.00000E+00	3.05000E+03	1.08039E+07
1.01325E+05	5.00000E+00	0.00000E+00	3.00000E+03	1.01426E+07
1.01325E+05	5.00000E+00	0.00000E+00	2.95000E+03	9.54682E+06
1.01325E+05	5.00000E+00	0.00000E+00	2.90000E+03	9.00867E+06
1.01325E+05	5.00000E+00	0.00000E+00	2.85000E+03	8.52113E+06
1.01325E+05	5.00000E+00	0.00000E+00	2.80000E+03	8.07798E+06
1.01325E+05	5.00000E+00	0.00000E+00	2.75000E+03	7.67374E+06
1.01325E+05	5.00000E+00	0.00000E+00	2.70000E+03	7.30363E+06
1.01325E+05	5.00000E+00	0.00000E+00	2.65000E+03	6.96343E+06
1.01325E+05	5.00000E+00	0.00000E+00	2.60000E+03	6.64942E+06
1.01325E+05	5.00000E+00	0.00000E+00	2.55000E+03	6.35833E+06
1.01325E+05	5.00000E+00	0.00000E+00	2.50000E+03	6.08722E+06
1.01325E+05	5.00000E+00	0.00000E+00	2.45000E+03	5.83348E+06
1.01325E+05	5.00000E+00	0.00000E+00	2.40000E+03	5.59478E+06
1.01325E+05	5.00000E+00	0.00000E+00	2.35000E+03	5.36900E+06
1.01325E+05	5.00000E+00	0.00000E+00	2.30000E+03	5.15426E+06
1.01325E+05	5.00000E+00	0.00000E+00	2.25000E+03	4.94883E+06
1.01325E+05	5.00000E+00	0.00000E+00	2.20000E+03	4.75114E+06
1.01325E+05	5.00000E+00	0.00000E+00	2.15000E+03	4.55973E+06
1.01325E+05	5.00000E+00	0.00000E+00	2.10000E+03	4.37322E+06
1.01325E+05	5.00000E+00	0.00000E+00	2.05000E+03	4.19023E+06
1.01325E+05	5.00000E+00	0.00000E+00	2.00000E+03	4.00928E+06
1.01325E+05	5.00000E+00	0.00000E+00	1.95000E+03	3.82871E+06
1.01325E+05	5.00000E+00	0.00000E+00	1.90000E+03	3.64638E+06
1.01325E+05	5.00000E+00	0.00000E+00	1.85000E+03	3.45940E+06
1.01325E+05	5.00000E+00	0.00000E+00	1.80000E+03	3.26341E+06
1.01325E+05	5.00000E+00	0.00000E+00	1.75000E+03	3.05149E+06
1.01325E+05	5.00000E+00	0.00000E+00	1.70000E+03	2.81176E+06
1.01325E+05	5.00000E+00	0.00000E+00	1.65000E+03	2.52339E+06
1.01325E+05	5.00000E+00	0.00000E+00	1.60000E+03	2.15641E+06
1.01325E+05	5.00000E+00	0.00000E+00	1.55000E+03	1.69949E+06
1.01325E+05	5.00000E+00	0.00000E+00	1.50000E+03	1.19862E+06
1.01325E+05	5.00000E+00	0.00000E+00	1.45000E+03	7.14945E+05
1.01325E+05	5.00000E+00	0.00000E+00	1.40000E+03	2.72297E+05
1.01325E+05	5.00000E+00	0.00000E+00	1.35000E+03	-1.31883E+05
1.01325E+05	5.00000E+00	0.00000E+00	1.30000E+03	-5.00533E+05
1.01325E+05	5.00000E+00	0.00000E+00	1.25000E+03	-8.16392E+05
1.01325E+05	5.00000E+00	0.00000E+00	1.20000E+03	-1.04511E+06
1.01325E+05	5.00000E+00	0.00000E+00	1.15000E+03	-1.21259E+06
1.01325E+05	5.00000E+00	0.00000E+00	1.10000E+03	-1.36870E+06
1.01325E+05	5.00000E+00	0.00000E+00	1.05000E+03	-1.54252E+06
1.01325E+05	5.00000E+00	0.00000E+00	1.00000E+03	-1.79331E+06
